macrogene,orthogroup,TP,FP,FN,TN,precision,recall
MG_0000,OG0000742,12,5,18,107738,0.7058823529411765,0.4
MG_0000,OG0001553,5,2,25,107741,0.7142857142857143,0.16666666666666666
MG_0000,OG0002689,1,5,29,107738,0.16666666666666666,0.03333333333333333
MG_0000,OG0002702,4,5,26,107738,0.4444444444444444,0.13333333333333333
MG_0000,OG0002918,1,8,29,107735,0.1111111111111111,0.03333333333333333
MG_0000,OG0006686,4,0,26,107743,1.0,0.13333333333333333
MG_0000,OG0007823,2,2,28,107741,0.5,0.06666666666666667
MG_0000,OG0013596,1,3,29,107740,0.25,0.03333333333333333
MG_0001,OG0000026,1,77,29,107666,0.01282051282051282,0.03333333333333333
MG_0001,OG0001259,1,33,29,107710,0.029411764705882353,0.03333333333333333
MG_0001,OG0006288,4,0,26,107743,1.0,0.13333333333333333
MG_0001,OG0006964,1,5,29,107738,0.16666666666666666,0.03333333333333333
MG_0001,OG0008146,1,4,29,107739,0.2,0.03333333333333333
MG_0001,OG0008400,2,3,28,107740,0.4,0.06666666666666667
MG_0001,OG0009170,1,4,29,107739,0.2,0.03333333333333333
MG_0001,OG0009404,3,1,27,107742,0.75,0.1
MG_0001,OG0010468,4,0,26,107743,1.0,0.13333333333333333
MG_0001,OG0011864,1,3,29,107740,0.25,0.03333333333333333
MG_0001,OG0014286,3,0,27,107743,1.0,0.1
MG_0001,OG0014829,1,0,29,107743,1.0,0.03333333333333333
MG_0001,OG0016056,1,2,29,107741,0.3333333333333333,0.03333333333333333
MG_0001,OG0031133,1,0,29,107743,1.0,0.03333333333333333
MG_0001,OG0045744,1,0,29,107743,1.0,0.03333333333333333
MG_0001,OG0048245,1,0,29,107743,1.0,0.03333333333333333
MG_0001,OG0049064,1,0,29,107743,1.0,0.03333333333333333
MG_0001,OG0049490,1,0,29,107743,1.0,0.03333333333333333
MG_0001,OG0078923,1,0,29,107743,1.0,0.03333333333333333
MG_0002,OG0001125,1,25,68,107679,0.038461538461538464,0.014492753623188406
MG_0002,OG0002565,1,9,68,107695,0.1,0.014492753623188406
MG_0002,OG0002612,3,3,66,107701,0.5,0.043478260869565216
MG_0002,OG0003378,1,8,68,107696,0.1111111111111111,0.014492753623188406
MG_0002,OG0003467,1,7,68,107697,0.125,0.014492753623188406
MG_0002,OG0003948,1,4,68,107700,0.2,0.014492753623188406
MG_0002,OG0004726,2,6,67,107698,0.25,0.028985507246376812
MG_0002,OG0005687,2,5,67,107699,0.2857142857142857,0.028985507246376812
MG_0002,OG0005936,1,4,68,107700,0.2,0.014492753623188406
MG_0002,OG0006432,1,5,68,107699,0.16666666666666666,0.014492753623188406
MG_0002,OG0006684,1,6,68,107698,0.14285714285714285,0.014492753623188406
MG_0002,OG0007024,2,2,67,107702,0.5,0.028985507246376812
MG_0002,OG0007202,2,6,67,107698,0.25,0.028985507246376812
MG_0002,OG0008152,1,3,68,107701,0.25,0.014492753623188406
MG_0002,OG0008243,1,4,68,107700,0.2,0.014492753623188406
MG_0002,OG0008499,1,4,68,107700,0.2,0.014492753623188406
MG_0002,OG0008536,1,6,68,107698,0.14285714285714285,0.014492753623188406
MG_0002,OG0009305,1,2,68,107702,0.3333333333333333,0.014492753623188406
MG_0002,OG0009903,2,1,67,107703,0.6666666666666666,0.028985507246376812
MG_0002,OG0009956,1,4,68,107700,0.2,0.014492753623188406
MG_0002,OG0010383,1,3,68,107701,0.25,0.014492753623188406
MG_0002,OG0011698,1,13,68,107691,0.07142857142857142,0.014492753623188406
MG_0002,OG0011806,2,1,67,107703,0.6666666666666666,0.028985507246376812
MG_0002,OG0012087,1,5,68,107699,0.16666666666666666,0.014492753623188406
MG_0002,OG0012624,1,2,68,107702,0.3333333333333333,0.014492753623188406
MG_0002,OG0012841,1,3,68,107701,0.25,0.014492753623188406
MG_0002,OG0016013,1,11,68,107693,0.08333333333333333,0.014492753623188406
MG_0002,OG0016741,2,2,67,107702,0.5,0.028985507246376812
MG_0002,OG0016789,2,0,67,107704,1.0,0.028985507246376812
MG_0002,OG0016829,1,1,68,107703,0.5,0.014492753623188406
MG_0002,OG0019861,1,1,68,107703,0.5,0.014492753623188406
MG_0002,OG0020183,1,8,68,107696,0.1111111111111111,0.014492753623188406
MG_0002,OG0020290,1,1,68,107703,0.5,0.014492753623188406
MG_0002,OG0021680,1,1,68,107703,0.5,0.014492753623188406
MG_0002,OG0023144,1,6,68,107698,0.14285714285714285,0.014492753623188406
MG_0002,OG0023146,1,5,68,107699,0.16666666666666666,0.014492753623188406
MG_0002,OG0024117,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0027534,1,4,68,107700,0.2,0.014492753623188406
MG_0002,OG0028925,1,1,68,107703,0.5,0.014492753623188406
MG_0002,OG0033368,1,1,68,107703,0.5,0.014492753623188406
MG_0002,OG0033388,1,2,68,107702,0.3333333333333333,0.014492753623188406
MG_0002,OG0033396,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0033457,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0034834,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0036243,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0036454,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0047066,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0048455,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0049314,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0049760,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0060088,1,1,68,107703,0.5,0.014492753623188406
MG_0002,OG0060122,1,1,68,107703,0.5,0.014492753623188406
MG_0002,OG0061682,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0061710,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0061911,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0062125,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0062278,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0095037,1,0,68,107704,1.0,0.014492753623188406
MG_0002,OG0095078,1,0,68,107704,1.0,0.014492753623188406
MG_0003,OG0003910,7,0,32,107734,1.0,0.1794871794871795
MG_0003,OG0006208,4,0,35,107734,1.0,0.10256410256410256
MG_0003,OG0006264,5,2,34,107732,0.7142857142857143,0.1282051282051282
MG_0003,OG0007835,1,3,38,107731,0.25,0.02564102564102564
MG_0003,OG0008054,4,0,35,107734,1.0,0.10256410256410256
MG_0003,OG0008336,4,0,35,107734,1.0,0.10256410256410256
MG_0003,OG0008897,4,1,35,107733,0.8,0.10256410256410256
MG_0003,OG0009844,2,2,37,107732,0.5,0.05128205128205128
MG_0003,OG0011147,4,0,35,107734,1.0,0.10256410256410256
MG_0003,OG0011685,3,0,36,107734,1.0,0.07692307692307693
MG_0003,OG0014082,1,0,38,107734,1.0,0.02564102564102564
MG_0004,OG0001614,8,0,28,107737,1.0,0.2222222222222222
MG_0004,OG0002354,12,0,24,107737,1.0,0.3333333333333333
